,subject,musician,post,pre,improvement
0,1,0,2.602409638554217,2.5853658536585367,0.017043784895680147
1,2,1,3.6987951807228914,3.8292682926829267,-0.1304731119600353
2,3,0,3.4698795180722892,3.3048780487804876,0.1650014692918016
3,4,0,2.1927710843373496,2.6219512195121952,-0.42918013517484566
4,5,0,2.3132530120481927,2.268292682926829,0.04496032912136361
5,6,1,3.0602409638554215,3.182926829268293,-0.1226858654128713
6,7,1,3.180722891566265,3.0,0.1807228915662651
7,8,0,3.036144578313253,2.8048780487804876,0.23126652953276539
8,9,0,3.325301204819277,2.975609756097561,0.3496914487217162
9,10,0,3.3734939759036147,2.9146341463414633,0.4588598295621513
10,11,0,1.9759036144578312,1.5609756097560976,0.41492800470173363
11,12,1,3.674698795180723,3.6463414634146343,0.028357331766088567
12,13,1,3.9036144578313254,3.7804878048780486,0.12312665295327685
13,14,1,3.4096385542168677,2.7195121951219514,0.6901263590949163
14,15,1,3.783132530120482,3.4878048780487805,0.2953276520717014
15,16,0,2.2289156626506026,2.1707317073170733,0.05818395533352927
16,17,1,3.4216867469879517,2.4878048780487805,0.9338818689391712
17,18,1,3.855421686746988,3.7804878048780486,0.07493388186893934
18,19,0,2.855421686746988,2.6951219512195124,0.16029973552747556
19,20,0,2.7590361445783134,2.3536585365853657,0.40537760799294764
20,21,1,3.3012048192771086,2.9878048780487805,0.31339994122832815
