,subject,score,musician,rank
0,13,3.9036144578313254,1,1
1,18,3.855421686746988,1,2
2,15,3.783132530120482,1,3
3,2,3.6987951807228914,1,4
4,12,3.674698795180723,1,5
5,3,3.4698795180722892,0,6
6,17,3.4216867469879517,1,7
7,14,3.4096385542168677,1,8
8,10,3.3734939759036147,0,9
9,9,3.325301204819277,0,10
10,21,3.3012048192771086,1,11
11,7,3.180722891566265,1,12
12,6,3.0602409638554215,1,13
13,8,3.036144578313253,0,14
14,19,2.855421686746988,0,15
15,20,2.7590361445783134,0,16
16,1,2.602409638554217,0,17
17,5,2.3132530120481927,0,18
18,16,2.2289156626506026,0,19
19,4,2.1927710843373496,0,20
20,11,1.9759036144578312,0,21
